"Well","ESP_OD_Casing_inches","Motor_Oil_Temperature","Intake_Temperature_F","Intake_Pressure_Mpa","Motor_Vibration","Current_Leakage_mA","PressureROC","Surface_Temperature"
"Well_2774G",7,339,335,3.91,16.8,9.725,1.92,234
"Well_938N",4.5,382,382,7.2,18,4.992,1.68,270
"Well_1450A",4.5,492,489,11.88,15.2,13.11,1.23,352
"Well_2624AG",5.5,311,311,9.2,15.2,15.352,0.68,217
"Well_1204G",5.5,368,369,4.48,18.5,14.525,1.97,261
"Well_2989N",4.5,422,424,9.41,17.4,5.077,0.27,303
"Well_467A",4.5,382,387,5.92,17.9,5.133,1.64,275
"Well_268AG",5.5,337,333,11.25,19.4,4.145,2.26,233
"Well_4152G",4.5,304,300,6.64,19.4,14.438,1.99,208
"Well_2897N",4.5,473,475,8.67,18,9.683,1.24,342
"Well_42A",7,399,397,10.95,17.7,8.49,0.43,281
"Well_4228AG",4.5,319,316,3.44,15,14.396,0.59,220
"Well_897G",4.5,475,480,7.21,17.9,14.688,0.94,346
"Well_2251N",4.5,365,365,5.88,15.9,0.37,2.15,257
"Well_4839A",7,391,396,3.5,16.1,1.278,0.57,282
"Well_4207AG",4.5,394,393,9.57,17.6,6.22,1.32,279
"Well_3374G",5.5,446,443,9.24,16.9,7.685,2.17,316
"Well_37N",4.5,301,302,11.29,16.7,9.83,0.46,210
"Well_4973A",4.5,466,471,4.52,18.5,8.314,2.18,339
"Well_3632AG",4.5,379,384,7.19,15,7.985,0.81,273
"Well_942G",4.5,301,304,9,16.3,7.198,0.97,212
"Well_3677N",4.5,411,408,10.91,19.9,1.623,0.85,290
"Well_117A",4.5,335,340,9.04,20,11.241,2.72,239
"Well_1553AG",4.5,421,417,6.65,18,6.764,2.9,296
"Well_4680G",7,480,478,4.91,19.8,15.498,0.71,343
"Well_735N",5.5,343,338,4.61,17,11.122,2.01,236
"Well_2242A",4.5,440,437,10.73,17.2,5.859,1.76,312
"Well_3390AG",4.5,331,328,4.81,17.4,7.695,1.08,229
"Well_3698G",4.5,306,309,4.41,19.8,6.052,2.75,216
"Well_194N",4.5,306,303,5.94,18,11.662,1.49,210
"Well_4660A",4.5,480,478,7.14,16.6,13.412,0.2,343
"Well_2212AG",4.5,327,329,9.18,18.1,5.012,2.7,249
"Well_3073G",4.5,404,399,6.09,15.6,13.884,2.6,283
"Well_3971N",5.5,433,435,3.33,15.9,5.741,2.92,311
"Well_4726A",5.5,325,320,5.41,16.1,2.089,1.87,223
"Well_1817AG",4.5,430,427,6.63,17.6,5.444,1.37,304
"Well_445G",5.5,493,493,10.46,19.8,3.364,2.89,355
"Well_684N",4.5,432,428,5.31,18.6,2.097,0.03,305
"Well_2888A",5.5,495,494,3.23,18.9,9.455,0.67,356
"Well_2011AG",7,480,481,11.82,17.7,3.706,0.5,346
"Well_1387G",4.5,407,412,5.27,16.5,9.409,0.88,294
"Well_4515N",7,327,331,10.42,19.5,9.378,2.48,232
"Well_3712A",5.5,305,307,5.83,19.5,13.313,2.29,214
"Well_2102AG",5.5,463,463,7.22,15,0.499,1.96,332
"Well_2639G",4.5,413,408,10.89,16.2,6.084,1.79,289
"Well_4201N",4.5,305,306,11.33,17.6,0.893,1,213
"Well_2700A",4.5,381,377,5.22,17.2,0.018,1.54,266
"Well_4237AG",5.5,390,395,5.98,18.1,1.518,0.82,281
"Well_141G",7,346,342,5.49,16.3,5.415,1.53,256
"Well_1810N",4.5,407,410,9.62,15.8,14.176,1.85,292
"Well_4666A",4.5,468,471,9.33,19.3,7.309,0.61,339
"Well_52AG",4.5,408,411,9.65,19.4,12.424,2.72,293
"Well_3808G",4.5,492,496,5.51,19.3,4.216,2.94,358
"Well_4790N",4.5,488,483,3.97,17.2,5.127,1.93,347
"Well_977A",4.5,476,479,4.25,19.3,1.423,0.49,345
"Well_499AG",4.5,381,378,3.5,16.3,15.68,0.09,267
"Well_3864G",5.5,478,475,10.14,18.7,0.545,2.34,341
"Well_788N",7,431,427,8.75,18.4,12.931,1.1,304
"Well_1489A",7,407,408,6,20,4.863,2.95,290
"Well_1860AG",4.5,405,409,7.18,19.3,7.062,2.86,311
"Well_3185G",4.5,439,443,6.85,19.1,14.446,2.76,336
"Well_813N",4.5,456,455,3.04,18.2,12.325,1.14,326
"Well_2928A",5.5,437,434,6.72,18.5,2.691,2.16,310
"Well_767AG",5.5,481,476,8.49,18.7,13.49,2.25,341
"Well_833G",7,314,314,9.32,20,13.822,1.26,239
"Well_3079N",5.5,308,309,7.14,19,11.288,1.24,215
"Well_3594A",5.5,353,352,7.99,18.9,4.333,0.27,247
"Well_1413AG",4.5,428,433,4.14,15.5,6.434,1.48,310
"Well_3885G",5.5,486,487,5.5,19,3.592,2.6,351
"Well_4765N",4.5,464,462,6.91,15,11.07,2.33,331
"Well_3757A",4.5,499,494,11.83,16.2,6.799,1,355
"Well_4538AG",5.5,492,494,4.79,16.7,13.708,2.99,356
"Well_4404G",4.5,489,491,5.01,19.6,8.45,1.07,354
"Well_1703N",5.5,334,339,8.63,20,12.952,1.06,239
"Well_2915A",4.5,396,391,9.17,17.2,7.456,1.83,276
"Well_3000AG",4.5,341,346,9.11,16.6,13.421,2.63,244
"Well_392G",4.5,454,454,7.99,17.5,14.629,1.39,325
"Well_4760N",4.5,490,491,3.09,16.5,4.284,0.83,354
"Well_3697A",4.5,470,469,3.75,15.3,8.123,1.66,337
"Well_1217AG",4.5,418,415,9.82,17.8,10.355,2.52,313
"Well_1531G",5.5,322,323,5.61,16.9,14.683,0.47,226
"Well_4182N",4.5,422,418,5.21,19.7,8.825,0.48,297
"Well_3400A",4.5,367,364,3.91,20,4.482,1.59,256
"Well_4051AG",4.5,413,408,11.84,16.8,15.771,1.35,306
"Well_4140G",4.5,491,494,11.6,18.2,14.569,0.19,356
"Well_1335N",4.5,387,392,5.98,19.8,3.226,1.52,279
"Well_4965A",4.5,432,433,9.95,17.8,1.589,2.02,309
"Well_297AG",4.5,420,423,9.1,17.8,0.844,1.41,302
"Well_1791G",4.5,446,451,4.01,19.4,10.933,2.28,324
"Well_3566N",4.5,330,327,10.63,17.8,9.469,2.77,228
"Well_2097A",5.5,482,483,5.74,17.2,9.473,1.49,348
"Well_3728AG",4.5,444,441,11.53,18.2,4.108,0.21,315
"Well_1299G",5.5,471,471,6.6,18,13.989,2.98,338
"Well_4748N",5.5,331,326,7.81,16.5,0.035,0.57,227
"Well_1973A",4.5,450,447,5.96,19.4,8.873,2.2,339
"Well_1609AG",4.5,400,400,5.85,16.1,11.783,0.74,284
"Well_3743G",4.5,436,433,4.23,19.1,5.936,1.46,309
"Well_1811N",5.5,443,443,6.25,16.3,8.708,2.95,317
"Well_1372A",7,409,412,10.54,15.4,4.759,1.93,294
"Well_1159AG",4.5,407,410,3.85,17.9,12.638,0.1,292
"Well_2933G",4.5,426,422,5.26,16.6,10.319,1.77,300
"Well_363N",4.5,446,451,4.26,15.4,13.629,1.74,324
"Well_610A",4.5,320,318,10.13,18,12.948,1.99,222
"Well_2402AG",4.5,339,341,10.62,18.6,14.242,1.21,240
"Well_31G",5.5,412,416,5.85,19.8,4.04,0.47,297
"Well_796N",4.5,463,461,4.41,16.8,14.711,3,330
"Well_1377A",4.5,429,424,11.49,16.8,0.313,0.51,302
"Well_4609AG",4.5,434,432,9.52,17.2,3.728,0.09,308
"Well_542G",5.5,401,398,7.16,17.2,0.157,2.64,282
"Well_1861N",5.5,428,423,9.33,18.6,0.591,0.22,301
"Well_3227A",5.5,343,338,9.63,16.5,5.751,1.89,236
"Well_1243AG",4.5,367,364,11.6,18.1,12.155,0.59,256
"Well_2239G",4.5,340,343,9.41,18.1,5.782,1.65,259
"Well_2201N",7,354,353,6.65,19.7,11.454,0.21,248
"Well_1060A",4.5,401,402,5.51,15.7,1.56,0.57,286
"Well_4144AG",4.5,331,336,11.52,18,1.961,1.16,236
"Well_3938G",4.5,314,311,4.47,16.8,3.94,1.24,216
"Well_1653N",4.5,410,411,4.02,19,0.163,1.54,293
"Well_3693A",4.5,410,405,3.38,15.5,7.023,2.63,287
"Well_4297AG",4.5,310,309,9.14,19.4,2.53,1.4,215
"Well_534G",4.5,397,393,6.97,20,12.506,2.63,278
"Well_4022N",5.5,488,485,7.99,19.2,10.401,2.53,349
"Well_3846A",5.5,390,390,11.48,19.3,8.11,0.27,276
"Well_257AG",5.5,419,422,7.46,19.5,4.842,1.33,301
"Well_2815G",5.5,304,303,7.76,18.6,0.084,1.39,229
"Well_1707N",4.5,448,450,6.06,17.6,11.424,2.78,322
"Well_996A",5.5,351,346,9.58,15.7,1.119,2.38,242
"Well_349AG",5.5,433,433,6.36,19.3,8.862,1.11,309
"Well_910G",5.5,393,397,7.35,18.9,10.141,1.28,282
"Well_708N",4.5,308,311,3.29,17.1,8.901,0.03,217
"Well_2141A",5.5,358,361,8.44,19,9.412,1.04,255
"Well_3813AG",4.5,482,478,10.72,15.3,3.853,0.81,343
"Well_3710G",4.5,390,392,10.61,16.3,4.092,0.05,278
"Well_1619N",4.5,498,496,6.09,18.8,1.12,2.99,357
"Well_3416A",5.5,411,416,7.77,17.4,2.868,0.81,297
"Well_2845AG",4.5,354,353,7.91,17.3,12.929,1.37,248
"Well_3936G",4.5,387,390,11.53,19.6,11.446,1.41,277
"Well_4450N",4.5,329,333,9.98,19.5,12.363,2.03,234
"Well_4227A",4.5,372,367,9.2,16.7,2.699,0.23,258
"Well_1595AG",5.5,361,356,11.88,18.9,6.29,1.27,250
"Well_3368G",4.5,464,466,4.63,19.3,4.004,1.77,335
"Well_504N",7,321,323,3.86,17.5,15.981,1.94,226
"Well_3153A",4.5,411,406,5.39,16.2,1.519,2.45,288
"Well_1061AG",7,308,310,9.86,18.2,9.826,2.41,216
"Well_3392G",5.5,312,310,7.71,19.3,10.036,2.59,216
"Well_4935N",4.5,398,398,4.44,16.3,4.374,0.04,283
"Well_755A",7,370,371,3.14,17.1,8.644,2.56,262
"Well_1958AG",4.5,402,402,9.57,16.7,13.511,0.98,286
"Well_464G",4.5,340,336,10.09,15.9,5.006,2.1,235
"Well_3200N",4.5,372,372,3.28,16.1,0.36,0.98,263
"Well_1792A",5.5,394,395,10.35,15.6,12.552,2.09,280
"Well_1912AG",4.5,329,333,10.48,18.5,11.406,2.14,234
"Well_3990G",5.5,314,319,5.57,19.6,1.798,0.93,224
"Well_3717N",5.5,329,327,7.13,15,0.954,0.13,243
"Well_4352A",5.5,389,390,3.25,17,11.536,1.13,277
"Well_4103AG",4.5,451,451,5.16,17.5,13.945,0.6,323
"Well_624G",5.5,322,324,8.36,16.4,14.31,2.94,227
"Well_335N",7,389,390,5.45,16.2,7.651,2.13,293
"Well_3296A",4.5,466,466,10.58,19.2,11.66,1.15,334
"Well_3503AG",5.5,366,370,10.04,16.4,10.588,0.71,262
"Well_3276G",5.5,478,473,3.81,15,13.756,2.95,339
"Well_4873N",4.5,322,318,5.84,18.8,4.024,2.84,221
"Well_3120A",4.5,377,381,10.43,16.7,10.093,2.44,270
"Well_4086AG",4.5,411,412,11.13,18.3,1.863,1.67,293
"Well_4692G",5.5,312,309,11.58,15.6,15.31,1.7,230
"Well_2076N",4.5,301,305,11.51,15.7,9.762,2.76,213
"Well_1019A",4.5,383,382,10.69,17.4,7.669,0.63,270
"Well_1529AG",5.5,322,319,10.11,17.9,6.853,0.28,222
"Well_394G",4.5,321,316,5.41,15.2,11.672,2.35,220
"Well_1550N",5.5,353,356,3.02,17.2,0.428,2,251
"Well_334A",4.5,501,496,3.18,19,14.257,2.77,357
"Well_2638AG",5.5,400,401,10.97,19.6,9.69,1.47,285
"Well_1729G",5.5,335,340,4.6,18.7,15.172,0.61,239
"Well_555N",4.5,396,395,8,15.5,14.021,0.6,280
"Well_4220A",5.5,348,347,9.55,18.4,1.254,2.18,244
"Well_3851AG",7,342,347,11.54,19.3,4.459,2.26,245
"Well_1005G",5.5,393,391,9.89,19.5,15.703,0.85,277
"Well_508N",5.5,464,464,7.86,16.9,6.907,1.46,350
"Well_345A",4.5,477,478,9.33,19.9,5.765,0.01,344
"Well_2062AG",5.5,328,328,6.52,15.5,4.516,1.92,245
"Well_4557G",4.5,346,349,3.82,16.6,8.423,2.81,246
"Well_4174N",5.5,419,416,4.77,17.4,6.206,2.63,296
"Well_2229A",4.5,469,473,9.61,15.8,7.984,1.92,340
"Well_3398AG",5.5,323,319,7.43,16.7,10.395,0.35,222
"Well_3640G",5.5,478,476,8.09,17.7,4.467,0.15,342
"Well_3858N",4.5,316,318,6.8,18.6,14.428,0.52,222
"Well_612A",4.5,489,494,5.88,16.8,15.66,2.81,357
"Well_3353AG",7,396,393,5.11,18.4,1.371,2.32,278
"Well_4184G",5.5,386,387,3.13,19,1.452,0.35,274
"Well_4601N",7,369,367,5.65,19.6,10.014,2.87,278
"Well_1776A",4.5,434,437,10.71,17.5,7.831,2.99,313
"Well_1430AG",4.5,312,312,6.33,17.8,8.91,0.27,218
"Well_2792G",4.5,370,373,4.43,18.6,11.989,0.85,264
"Well_1134N",4.5,426,430,5.09,18.2,14.634,1.09,307
"Well_501A",5.5,496,498,8.13,15.1,7.139,1.13,359
"Well_4535AG",5.5,458,457,10.11,17.5,4.397,1.62,327
"Well_1474G",4.5,326,330,6.82,18,3.594,0.57,232
